Authors,URL,DOI,Title,Publication,Month,Year,Type,Volume,Start Page,End Page
"Tatsuki Kuribayashi, Alex Warstadt, Yohei Oseki, Ethan Gotlieb Wilcox",https://arxiv.org/abs/2604.18563,,Dual Alignment Between Language Model Layers and Human Sentence Processing,Proceedings of ACL 2026,,2026,Proceedings,,,
"Wesley Scivetti, Kaniska Misra, Leonie Wiesswieler, Ethan Gotlieb Wilcox, Nathan Schnieder",,,"Language Models Learn Constructional Semantics, Not To Mention Syntax: Investigating LM Understanding of PAIRED-FOCUS Constructions",Proceedings of CoNLL,February,2026,Proceedings,,,
"Kohei Kajikawa, Shinnosuke Isono, Ethan Gotlieb Wilcox",https://arxiv.org/pdf/2602.18217,,Information-Theoretic Storage Cost in Sentence Comprehension,Proceedings of CoNLL,February,2026,Proceedings,,,
"Xiulin Yang, Arianna Bisazza, Nathan Schneider, Ethan Gotlieb Wilcox",https://arxiv.org/abs/2602.09992,,A Unified Assessment of the Poverty of the Stimulus Argument for Neural Language Models,arXiv Preprint,,2026,Preprint,,,
"Xiulin Yang, Heidi Getz, Ethan Gotlieb Wilcox",https://arxiv.org/abs/2601.21191,,From Linear Input to Hierarchical Structure: Function Words as Statistical Cues for Language Learning,Proceeings of ACL 2026,,2026,Preprint,,,
"Aditya Yadavalli, Tiago Pimentel, Tamar I. Regev, Ethan Gotlieb Wilcox, Alex Warstadt",https://arxiv.org/pdf/2512.16832,,What Do Prosody and Text Convey? {C}haracterizing How Meaningful Information is Distributed Across Multiple Channels,Proceedings of ACL 2026,December,2026,Preprint,,,
"Tatsuya Aoyama, Ethan Gotlieb Wilcox, Nathan Schneider",https://arxiv.org/abs/2511.16893,,Predicting the Formation of Induction Heads,NeurIPS 2025 First Workshop on CogInterp: Interpreting Cognition in Deep Learning Models (CogInterp @ NeurIPS),December,2025,Proceedings,,,
"Lucas Charpentier, Leshem Choshen, Ryan Cotterell, Mustafa Omer Gul, Michael Y. Hu, Jing Liu, Jaap Jumelet, Tal Linzen, Aaron Mueller, Candance Ross, Raj Sanjay Shah, Alex Warstadt, Ethan Gotlieb Wilcox, Adina Williams",https://aclanthology.org/2025.babylm-main.28/,,Findings of the Third BabyLM Challenge: Accelerating Language Modeling Research with Cognitively Plausible Data,Proceedings of the First BabyLM Workshop,November,2025,Proceedings,,,
"Cui Ding, Yanning Yin, Lena A. Jäger, Ethan Gotlieb Wilcox",https://aclanthology.org/2025.emnlp-main.592/,,Modeling Bottom-up Information Quality during Language Processing,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing (EMNLP),November,2025,Proceedings,,,
"Wesley Scivetti, Tatsuya Aoyama, Ethan Gotlieb Wilcox, Nathan Schneider",https://aclanthology.org/2025.emnlp-main.1399/,,Unpacking Let Alone: Human-Scale Models Generalize to a Rare Construction in Form but not Meaning,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing (EMNLP),November,2025,Proceedings,,,
"Jennifer Hu, Ethan Gotlieb Wilcox, Siyuan Song, Kyle Mahowald, Roger Levy",https://www.arxiv.org/abs/2510.16227,,What Can String Probability Tell Us About Grammaticality?,Transactions of the Association of Computational Linguistics,October,2025,Journal,,,
"Metehan Oğuz, Cui Ding, Ethan Gotlieb Wilcox, Zuzanna Fuchs",https://direct.mit.edu/opmi/article/doi/10.1162/OPMI.a.35/133662/Using-MoTR-to-Probe-Agreement-Processing-in,,Using {MoTR} to Probe Agreement Processing in {R}ussian,OpenMind,October,2025,Journal,,,
"Eleftheria Tsipidi, Samuel Kiegeland, Franz Nowak, Tianyang Xu, Ethan Gotlieb Wilcox, Alex Warstadt, Ryan Cotterell, Mario Giulianelli",https://aclanthology.org/2025.acl-long.1527/,,The Harmonic Structure of Information Contours,Proceedings of the Annual Meeting of the Association of Computational Linguistics (ACL),July,2025,Proceedings,,,
"Tamar I Regev, Chiebuka Ohams, Shaylee Xie, Lukas Wolf, Evelina Fedorenko, Alex Warstadt, Ethan Gotlieb Wilcox, Tiago Pimentel",https://arxiv.org/abs/2503.11630,,The time scale of redundancy between prosody and linguistic context,Proceedings of the Annual Meeting of the Association of Computational Linguistics (ACL),July,2025,Proceedings,,,
"Ethan Gotlieb Wilcox, Cui Ding, Giovanni Acampa, Tiago Pimentel, Alex Warstadt, Tamar Regev",https://aclanthology.org/2025.acl-long.1192/,,"Using Information Theory to Characterize Prosodic Typology: {T}he Case of Tone, Pitch-Accent and Stress-Accent",Proceedings of the Annual Meeting of the Association of Computational Linguistics (ACL),July,2025,Proceedings,,,
"Tatsuya Aoyama, Ethan Gotlieb Wilcox",https://arxiv.org/abs/2502.18802,,Language Models Grow Less Humanlike beyond Phase Transition,Proceedings of the Annual Meeting of the Association of Computational Linguistics (ACL),July,2025,Proceedings,,,
"Xiulin Yang, Tatsuya Aoyama, Yuekun Yao, Ethan Gotlieb Wilcox",https://arxiv.org/abs/2502.18795,,Anything Goes? A Crosslinguistic Study of (Im)possible Language Learning in LMs,Proceedings of the Annual Meeting of the Association of Computational Linguistics (ACL),July,2025,Proceedings,,,
"Brandon Waldon, Nathan Schneider, Ethan Gotlieb Wilcox, Amir Zeldes, Kevin Tobia",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5123124,https://doi.org/10.2139/ssrn.5123124,Large Language Models for Legal Interpretation? {D}on’t Take Their Word for It,Georgetown Law Journal,,2025,Journal,,,
"Anna A. Ivanova, Aalok Sathe, Benjamin Lipkin, Unnathi Kumar, Setayesh Radkani, Thomas H. Clark, Carina Kauf, Jennifer Hu, R. T. Pramod, Gabriel Grand, Vivian Paulun, Maria Ryskina, Ekin Akyürek, Ethan Gotlieb Wilcox, Nafisa Rashid, Leshem Choshen, Roger Levy, Evelina Fedorenko, Joshua Tenenbaum, Jacob Andreas",https://arxiv.org/pdf/2405.09605,,Elements of World Knowledge (EWOK): A cognition-inspired framework for evaluating basic world knowledge in language models,Transactions of the Association for Computational Linguistics,,2025,Journal,,,
"Ethan Gotlieb Wilcox, Michael Y. Hu, Alex Warstadt, Aaron Mueller, Leshem Choshen, Chengxu Zhuang, Adina Williams, Ryan Cotterell, Tal Linzen",https://osf.io/preprints/psyarxiv/rfwgd,,Bigger is not always better: {T}he importance of human-scale language modeling for psycholinguistics,Journal of Memory and Language,,2025,Journal,,,
